"Occupation by major field of study (detailed, 4-digit): Canada, provinces and territories"
"Frequency: Occasional"
"Table: 98-10-0404-01"
"Release date: 2023-10-04"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A), Age (2), Highest certificate, diploma or degree (16), Major field of study - Classification of Instructional Programs (CIP) 2021 (500), Gender (3)"

"Geography","Canada i1",,
"Age (2) 1","Total - Age 4",,
"Highest certificate, diploma or degree (16) 2","Total - Highest certificate, diploma or degree 5",,
"Major field of study - Classification of Instructional Programs (CIP) 2021 (500) 3","Total - Major field of study - Classification of Instructional Programs (CIP) 2021 6",,
"Gender (3) 7 8","Total - Gender","Men+ 10","Women+ 11"
"Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9"
"422 Paraprofessional occupations in legal, social, community and education services","521,395","68,710","452,680"
"4220 Paraprofessional occupations in legal, social, community and education services","521,395","68,710","452,680"
"42200 Paralegals and related occupations","33,680","5,245","28,435"
"42201 Social and community service workers","194,275","45,730","148,540"
"42202 Early childhood educators and assistants","248,345","9,555","238,790"
"42203 Instructors of persons with disabilities","35,415","4,430","30,990"
"42204 Religion workers","9,680","3,755","5,920"
"43 Assisting occupations in education and in legal and public protection","247,315","95,155","152,165"
"431 Assisting occupations in educational","157,785","29,400","128,385"
"4310 Assisting occupations in education","157,785","29,400","128,385"
"43100 Elementary and secondary school teacher assistants","113,410","10,805","102,610"
"43109 Other instructors","44,375","18,595","25,780"
"432 Assisting occupations in legal and public protection","89,530","65,755","23,780"
"4320 Assisting occupations in legal and public protection","89,530","65,755","23,780"
"43200 Sheriffs and bailiffs","5,620","4,150","1,470"
"43201 Correctional service officers","25,680","17,355","8,325"
"43202 By-law enforcement and other regulatory officers","10,970","7,050","3,925"
"43203 Border services, customs, and immigration officers","10,780","5,905","4,875"
"43204 Operations members of the Canadian Armed Forces","36,480","31,300","5,180"
"44 Care providers and legal and public protection support occupations","139,450","19,985","119,465"
"441 Home care provider occupations","129,300","11,035","118,265"
"4410 Home care provider occupations","129,300","11,035","118,265"
"44100 Home child care providers","69,820","4,330","65,485"
"44101 Home support workers, caregivers and related occupations","59,480","6,705","52,780"
